School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio,Male to Female Ratio,Cluster (hier)
Hartwick College,NY,13820-4020,33,1,8026,1181,0.3971,0.6029,0.7396,69362,19,0.8015,59031,0.3844,0.7449,0.6197,0.7823129252,0.059,0.9648709818,0,23101,1,0.6974334449,0.658649859,13
Hilbert College,NY,14075-1597,21,0.2824,5930,711,0.4529,0.5471,0.7808,58163,21,0.9258,28589,0.5027,0.8743,0.5504,0.5963302752,0.092,1.0085857088,1,15460,1,0.8240437659,0.8278194114,37
Hobart William Smith Colleges,NY,14456,32,0.8517,9288,2036,0.4754,0.5246,0.8838,75518,19,0.6608,72040,0.2005,0.5855,0.7763,0.8577075099,0.038,0.9060756095,0,32940,1,0.4564941251,0.9062142585,30
Hofstra University,NY,11549,21,0.4223,13890,6400,0.4464,0.5536,0.8261,86369,20,0.6849,60296,0.2164,0.4695,0.6372,0.7549817569,0.028,0.9477367217,0,32838,1,0.4737236205,0.8063583815,30
Houghton College,NY,14744,43,0.4936,6282,921,0.3974,0.6026,0.79,59922,20,0.807,43970,0.4464,0.6812,0.7297,0.8458274399,0.016,0.9506343162,0,22233,1,0.7311444696,0.6594756057,12
Iona College,NY,10801-1890,21,0.5645,9901,2743,0.5166,0.4834,0.7239,78814,19,0.8411,51313,0.3231,0.5586,0.6545,0.7761385504,0.072,0.9644928863,1,28619,1,0.4547454892,1.068680182,40
Ithaca College,NY,14850-7002,23,0.7345,9130,5803,0.4268,0.5732,0.8697,77434,19,0.7276,62668,0.1996,0.6801,0.7645,0.8927021696,0.03,0.8889481086,0,33465,1,0.5020435748,0.7445917655,30
The Juilliard School,NY,10023-6588,11,0.4,10482,486,0.5226,0.4774,0.9504,75845,19,0.0688,67498,0.1658,0.3231,0.9216,0.7631578947,0.017,0.9136040225,0,33535,1,1.0273972603,1.094679514,34
Keuka College,NY,14478,32,1,6296,1525,0.2695,0.7305,0.7909,56096,25,0.7196,48976,0.4495,0.8249,0.5472,0.7045454545,0.069,0.9967621344,0,24551,1,0.615233668,0.3689253936,14
LIM College,NY,10022-5268,11,0.0769,6422,1450,0.1048,0.8952,0.7059,78436,20,0.8346,45526,0.3309,0.6308,0.5623,0.6554307116,0.068,0.9963115961,0,34761,1,0.5515817942,0.1170688114,18
Le Moyne College,NY,13214-1301,21,0.5,9154,2642,0.4016,0.5984,0.8687,60497,20,0.7362,48188,0.3123,0.5945,0.7476,0.7566964286,0.027,0.941399189,1,22118,1,0.5206758709,0.6711229947,38
Long Island University,NY,11548-1327,21,0.44,12027,6164,0.3254,0.6746,0.757,69416,23,0.8009,49964,0.2378,0.3495,0.4597,0.5838532804,0.066,0.9887532038,0,25767,1,0.7297609796,0.482359917,12
Manhattan College,NY,10471-4098,11,0.5482,11383,3543,0.5662,0.4338,0.8116,83053,20,0.7362,55655,0.2769,0.5584,0.7226,0.8580593424,0.034,0.8924696438,1,28153,1,0.3729682255,1.3052097741,40
Manhattan School of Music,NY,10027,11,0.2946,8207,518,0.5058,0.4942,0.9043,77713,19,0.3554,68686,0.1292,0.3432,0.8264,0.6904761905,0.037,0.8912155901,0,54902,1,1.3984166667,1.0234722784,31
Manhattanville College,NY,10577,21,0.3155,8873,1504,0.4162,0.5838,0.699,80867,19,0.9025,51842,0.2893,0.4881,0.5984,0.7711864407,0.048,0.9707154349,0,21957,1,0.5736703801,0.712915382,13
Marist College,NY,12601,21,0.4238,9896,5460,0.4196,0.5804,0.8845,83197,20,0.4923,57358,0.16,0.5275,0.8358,0.8572117704,0.027,0.8800351099,0,37195,1,0.4773537753,0.7229496899,30
Marymount Manhattan College,NY,10021-4597,11,0.246,9492,1843,0.2078,0.7922,0.6943,77729,20,0.7955,56343,0.253,0.6457,0.5023,0.6741826381,0.063,0.9705272043,0,37768,1,0.6101487966,0.2623074981,18
Medaille College,NY,14214-2695,11,0.2425,5369,1438,0.2754,0.7246,0.6092,56197,24,0.6234,37124,0.548,0.73,0.3755,0.6101836394,0.108,1.0164297414,0,13002,1,0.7371787602,0.3800717637,14
Mercy College,NY,10522,21,0.2461,8993,7213,0.3045,0.6955,0.7677,57656,23,0.8162,29324,0.5244,0.5455,0.4377,0.4414364641,0.085,1.0309151513,0,14281,1,0.7458005356,0.4378145219,14
Molloy College,NY,11571-5002,21,0.284,10846,3426,0.2726,0.7274,0.839,87964,22,0.7796,45672,0.3015,0.6566,0.7455,0.7163323782,0.036,0.9209012859,1,29374,1,0.5695551913,0.3747594171,38
Mount Saint Mary College,NY,12550,13,0.3591,8877,1870,0.2743,0.7257,0.7964,74923,21,0.9381,45762,0.3282,0.8424,0.5957,0.7249802994,0.051,0.95477905,1,25242,1,0.6285091762,0.3779798815,38
College of Mount Saint Vincent,NY,10471-1093,11,0.3727,9022,1841,0.2808,0.7192,0.7791,63240,21,0.9217,48313,0.5086,0.7561,0.5069,0.6412918108,0.067,0.9831551532,1,18220,1,0.6449301326,0.3904338154,37
Nazareth College,NY,14618-3790,21,0.4172,8381,2263,0.2651,0.7349,0.8364,64638,20,0.6449,49359,0.2781,0.7818,0.6849,0.7851239669,0.033,0.9450260415,0,29994,1,0.606328919,0.3607293509,30
The New School,NY,10011-8871,11,0.1737,11887,7284,0.2442,0.7558,0.8237,75464,21,0.5734,69260,0.1734,0.2971,0.7075,0.6943064578,0.073,0.9527942852,0,43334,1,0.6285915415,0.3231013496,31
New York University,NY,10012-1091,11,0.9958,14636,26613,0.4238,0.5762,0.9442,82106,20,0.162,71467,0.1914,0.2923,0.8506,0.8095514588,0.023,0.8649677779,0,39772,1,0.4727774855,0.735508504,36
Niagara University,NY,14109,21,1,8864,2747,0.3633,0.6367,0.8748,60954,20,0.8921,47709,0.2848,0.6033,0.7174,0.7618733509,0.051,0.9547958149,1,20019,1,0.6069932478,0.570598398,38
