School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Out of State Cost,In State Cost,Average Net Price (Public),Average Net Price (Private),Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,90th Percentile Cumulative Loan Debt,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Median Earnings for Students Not Enrolled 10 Years,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio
University of California-Santa Barbara,CA,93106,22,0.8694,16692.0,23337.0,0.4544,0.5456,0.919,73046.0,20.0,0.2956,36319.0,44145.0,14391.0,15884.0,,0.3573,0.3143,28677.0,0.826,0.7597197898,0.015,0.87545798239868,66491.0,0,15884.0,3.0675422138836774,0.4312914529785986
University of California-Santa Cruz,CA,95064-1011,13,0.7595,15094.0,17517.0,0.521,0.479,0.8865,78075.0,20.0,0.5131,36115.0,43745.0,13991.0,18186.0,,0.3488,0.3887,29410.0,0.7472,0.7642259841,0.029,0.88133771571642,58112.0,0,18186.0,3.1266528482595954,0.5060916850220264
California Institute of the Arts,CA,91355-2397,21,0.5986,9640.0,1015.0,0.4463,0.5537,0.8411,74875.0,21.0,0.2528,71382.0,51466.0,51466.0,,50412.0,0.2485,0.4596,45500.0,0.5885,0.6601123596,0.046,0.96109708948586,37733.0,0,50412.0,1.0,1.2058410409985953
California State University Maritime Academy,CA,94590-8181,12,0.7474,10147.0,911.0,0.8299,0.1701,0.7639,78248.0,21.0,0.7621,27259.0,18996.0,7116.0,20597.0,,0.2734,0.4838,43190.0,0.643,0.8087774295,0.021,0.8827124715775,91461.0,0,20597.0,2.669477234401349,0.4722231333573873
Chapman University,CA,92866,12,0.9945,12004.0,7294.0,0.3936,0.6064,0.9122,73437.0,19.0,0.5565,72079.0,54924.0,54924.0,,41350.0,0.1788,0.4797,30750.0,0.7969,0.6939791761,0.013,0.87119483553084,60835.0,0,41350.0,1.0,0.5054656036820909
Concordia University-Irvine,CA,92612-3203,11,0.9291,7371.0,1723.0,0.3941,0.6059,0.7273,79890.0,22.0,0.7081,50332.0,36740.0,36740.0,,26143.0,0.2791,0.6051,29500.0,0.633,0.7239709443,0.027,0.92134979483873,53144.0,0,26143.0,1.0,0.5550955893421646
San Diego Christian College,CA,92071,21,0.0791,6852.0,469.0,0.4733,0.5267,0.619,66943.0,26.0,0.5526,47220.0,32346.0,32346.0,,34609.0,0.5067,0.7022,40250.0,0.4952,0.6086956522,0.116,1.00989273642117,46454.0,0,34609.0,1.0,0.8664485297283334
Claremont McKenna College,CA,91711-6400,21,0.9111,11334.0,1335.0,0.5049,0.4951,0.9568,82855.0,19.0,0.103,73810.0,56475.0,56475.0,,22161.0,0.1609,0.2228,26198.0,0.9204,,0.0,0.76494231266724,86571.0,0,22161.0,1.0,0.302618659828349
Cogswell University of Silicon Valley,CA,95134,11,0.3026,7458.0,541.0,0.6821,0.3179,0.6207,90231.0,21.0,0.4934,35151.0,20800.0,20800.0,,29566.0,0.4448,0.6655,44000.0,0.472,0.7319587629,0.063,0.9697434958195,61619.0,0,29566.0,1.0,0.7140654668202989
Columbia College Hollywood,CA,91356-1411,11,0.1622,6133.0,870.0,0.6103,0.3897,0.618,66257.0,21.0,,36596.0,24495.0,24495.0,,31339.0,0.4487,0.7041,40000.0,0.4959,0.4782608696,0.159,1.01369507394758,43251.0,0,31339.0,1.0,0.9248341078818987
